<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDRUB,D,20221013,000000,63.9500000
USDRUB,D,20221014,000000,61.9000000
USDRUB,D,20221016,000000,61.1500000
USDRUB,D,20221017,000000,61.0500000
USDRUB,D,20221018,000000,60.5000000
USDRUB,D,20221019,000000,61.8500000
USDRUB,D,20221020,000000,61.5000000
USDRUB,D,20221021,000000,60.6500000
USDRUB,D,20221024,000000,61.0000000
USDRUB,D,20221025,000000,60.2500000
USDRUB,D,20221026,000000,61.2500000
USDRUB,D,20221027,000000,61.3000000
USDRUB,D,20221028,000000,61.5000000
USDRUB,D,20221030,000000,61.5000000
USDRUB,D,20221031,000000,61.0000000
USDRUB,D,20221101,000000,61.7500000
USDRUB,D,20221102,000000,60.7000000
USDRUB,D,20221103,000000,61.3500000
USDRUB,D,20221104,000000,61.9000000
USDRUB,D,20221106,000000,60.9500000
USDRUB,D,20221107,000000,61.4000000
USDRUB,D,20221108,000000,59.6000000
USDRUB,D,20221109,000000,61.5500000
USDRUB,D,20221110,000000,59.7500000
USDRUB,D,20221111,000000,59.5500000
USDRUB,D,20221113,000000,59.5500000
USDRUB,D,20221114,000000,60.3750000
USDRUB,D,20221115,000000,61.3000000
USDRUB,D,20221116,000000,59.7750000
USDRUB,D,20221117,000000,59.5250000
USDRUB,D,20221118,000000,59.4600000
USDRUB,D,20221120,000000,59.8500000
USDRUB,D,20221121,000000,60.5600000
USDRUB,D,20221122,000000,60.6500000
USDRUB,D,20221123,000000,59.8000000
USDRUB,D,20221124,000000,60.3500000
USDRUB,D,20221125,000000,59.7500000
USDRUB,D,20221128,000000,59.9600000
USDRUB,D,20221129,000000,60.8300000
USDRUB,D,20221130,000000,60.0250000
USDRUB,D,20221201,000000,61.2000000
USDRUB,D,20221202,000000,61.5750000
USDRUB,D,20221204,000000,61.5000000
USDRUB,D,20221205,000000,61.6250000
USDRUB,D,20221206,000000,62.4000000
USDRUB,D,20221207,000000,62.5470000
USDRUB,D,20221208,000000,62.4000000
USDRUB,D,20221209,000000,62.5000000
USDRUB,D,20221211,000000,62.5000000
USDRUB,D,20221212,000000,61.6600000
USDRUB,D,20221213,000000,63.2000000
USDRUB,D,20221214,000000,64.7470000
USDRUB,D,20221215,000000,63.6500000
USDRUB,D,20221216,000000,63.8750000
USDRUB,D,20221218,000000,64.0000000
USDRUB,D,20221219,000000,66.0000000
USDRUB,D,20221220,000000,69.2500000
USDRUB,D,20221221,000000,69.5000000
USDRUB,D,20221222,000000,67.0000000
USDRUB,D,20221223,000000,68.0000000
USDRUB,D,20221226,000000,68.3300000
USDRUB,D,20221227,000000,69.0000000
USDRUB,D,20221228,000000,71.7500000
USDRUB,D,20221229,000000,73.0000000
USDRUB,D,20221230,000000,72.0000000
USDRUB,D,20230101,000000,73.6500000
USDRUB,D,20230102,000000,71.0007000
USDRUB,D,20230103,000000,73.0482000
USDRUB,D,20230104,000000,71.4959000
USDRUB,D,20230105,000000,72.1470000
USDRUB,D,20230106,000000,71.4800000
USDRUB,D,20230108,000000,72.4290000
USDRUB,D,20230109,000000,69.8800000
USDRUB,D,20230110,000000,69.6736000
USDRUB,D,20230111,000000,68.3025000
USDRUB,D,20230112,000000,67.7804000
USDRUB,D,20230113,000000,68.9958000
USDRUB,D,20230115,000000,68.9760000
USDRUB,D,20230116,000000,68.7576000
USDRUB,D,20230117,000000,68.5147000
USDRUB,D,20230118,000000,68.7422000
USDRUB,D,20230119,000000,69.3940000
USDRUB,D,20230120,000000,69.1010000
USDRUB,D,20230122,000000,69.0411000
USDRUB,D,20230123,000000,68.7500000
USDRUB,D,20230124,000000,69.4476000
USDRUB,D,20230125,000000,69.2256000
USDRUB,D,20230126,000000,69.4972000
USDRUB,D,20230127,000000,69.7542000
USDRUB,D,20230129,000000,68.7320000
USDRUB,D,20230130,000000,69.8800000
USDRUB,D,20230131,000000,70.5835000
USDRUB,D,20230201,000000,69.9033000
USDRUB,D,20230202,000000,70.0780000
USDRUB,D,20230203,000000,70.6555000
USDRUB,D,20230205,000000,70.5750000
USDRUB,D,20230206,000000,71.4945000
USDRUB,D,20230207,000000,72.1489000
USDRUB,D,20230208,000000,72.0444000
USDRUB,D,20230209,000000,72.8704000
USDRUB,D,20230210,000000,73.0860000
USDRUB,D,20230213,000000,73.1750000
USDRUB,D,20230214,000000,73.5995000
USDRUB,D,20230215,000000,73.9936000
USDRUB,D,20230216,000000,74.7113000
USDRUB,D,20230217,000000,73.6381000
USDRUB,D,20230219,000000,72.3000000
USDRUB,D,20230220,000000,72.9919000
USDRUB,D,20230221,000000,74.6484000
USDRUB,D,20230222,000000,74.8974000
USDRUB,D,20230223,000000,75.4024000
USDRUB,D,20230224,000000,76.0077000
USDRUB,D,20230226,000000,75.9800000
USDRUB,D,20230227,000000,74.6446000
USDRUB,D,20230228,000000,75.0442000
USDRUB,D,20230301,000000,75.2646000
USDRUB,D,20230302,000000,75.5325000
USDRUB,D,20230303,000000,75.7041000
USDRUB,D,20230305,000000,75.6750000
USDRUB,D,20230306,000000,75.3936000
USDRUB,D,20230307,000000,75.5975000
USDRUB,D,20230308,000000,76.0486000
USDRUB,D,20230309,000000,75.8478000
USDRUB,D,20230310,000000,76.1750000
USDRUB,D,20230312,000000,75.1800000
USDRUB,D,20230313,000000,75.5467000
USDRUB,D,20230314,000000,75.7397000
USDRUB,D,20230315,000000,76.0985000
USDRUB,D,20230316,000000,76.4990000
USDRUB,D,20230317,000000,76.9438000
USDRUB,D,20230319,000000,75.9400000
USDRUB,D,20230320,000000,77.4881000
USDRUB,D,20230321,000000,77.2482000
USDRUB,D,20230322,000000,76.9254000
USDRUB,D,20230323,000000,75.9967000
USDRUB,D,20230324,000000,77.2707000
USDRUB,D,20230326,000000,76.2600000
USDRUB,D,20230327,000000,76.8500000
USDRUB,D,20230328,000000,76.5715000
USDRUB,D,20230329,000000,77.3230000
USDRUB,D,20230330,000000,77.2731000
USDRUB,D,20230331,000000,77.9760000
USDRUB,D,20230402,000000,76.9800000
USDRUB,D,20230403,000000,78.6548000
USDRUB,D,20230404,000000,79.4750000
